input_var,output_var,weight_variable
1.000000000000000000e+02,1.207609062567217700e-01,1.000000000000000000e+00
1.111111111111111072e+01,6.306600812458817984e-01,2.000000000000000000e+00
2.222222222222222854e+01,6.306601001211364910e-01,2.000000000000000000e+00
3.333333333333334281e+01,6.306650563740944238e-01,2.000000000000000000e+00
4.444444444444444287e+01,6.307882748894690916e-01,2.000000000000000000e+00
5.555555555555555713e+01,6.319429776215061967e-01,2.000000000000000000e+00
6.666666666666667140e+01,6.383133826227270768e-01,2.000000000000000000e+00
7.777777777777777146e+01,6.635833993024896627e-01,2.000000000000000000e+00
8.888888888888888573e+01,7.436920765336841876e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.596761478311175431e-01,2.000000000000000000e+00
2.222222222222222143e+01,8.654826141340195012e-01,2.000000000000000000e+00
3.333333333333334281e+01,8.654826330092741937e-01,2.000000000000000000e+00
4.444444444444444287e+01,8.654875892622321265e-01,2.000000000000000000e+00
5.555555555555555713e+01,8.656108077776067944e-01,2.000000000000000000e+00
6.666666666666667140e+01,8.667655105096440105e-01,2.000000000000000000e+00
7.777777777777777146e+01,8.731359155108648906e-01,2.000000000000000000e+00
8.888888888888888573e+01,8.984059321906274764e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.785146094218218904e-01,2.000000000000000000e+00
3.333333333333332860e+01,9.536752321546289046e-01,2.000000000000000000e+00
4.444444444444443576e+01,9.536752510298835972e-01,2.000000000000000000e+00
5.555555555555555003e+01,9.536802072828415300e-01,2.000000000000000000e+00
6.666666666666665719e+01,9.538034257982161979e-01,2.000000000000000000e+00
7.777777777777777146e+01,9.549581285302533029e-01,2.000000000000000000e+00
8.888888888888888573e+01,9.613285335314741831e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.865985502112367689e-01,2.000000000000000000e+00
4.444444444444444287e+01,9.819681310091918913e-01,2.000000000000000000e+00
5.555555555555555713e+01,9.819681498844465839e-01,2.000000000000000000e+00
6.666666666666667140e+01,9.819731061374045167e-01,2.000000000000000000e+00
7.777777777777777146e+01,9.820963246527791846e-01,2.000000000000000000e+00
8.888888888888888573e+01,9.832510273848162896e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.896214323860371698e-01,2.000000000000000000e+00
5.555555555555555713e+01,9.892728635824745709e-01,2.000000000000000000e+00
6.666666666666667140e+01,9.892728824577291524e-01,2.000000000000000000e+00
7.777777777777777146e+01,9.892778387106870852e-01,2.000000000000000000e+00
8.888888888888888573e+01,9.894010572260617531e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.905557599580988581e-01,2.000000000000000000e+00
6.666666666666665719e+01,9.906457837642387299e-01,2.000000000000000000e+00
7.777777777777777146e+01,9.906458026394934224e-01,2.000000000000000000e+00
8.888888888888888573e+01,9.906507588924512442e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.907739774078260231e-01,2.000000000000000000e+00
7.777777777777777146e+01,9.908014930993450653e-01,2.000000000000000000e+00
8.888888888888888573e+01,9.908015119745997579e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.908064682275576907e-01,2.000000000000000000e+00
8.888888888888888573e+01,9.908085606357290853e-01,2.000000000000000000e+00
1.000000000000000000e+02,9.908085795109837779e-01,2.000000000000000000e+00
